product_author,product_img_link,product_name,product_price,product_ratings,product_stars
"Barack Obama,



Cicely Tyson


,



Holly Whitaker


,



Claudia Oshry


,



Katherine May


,



Joan Didion


,Beau Wise,



Amber Ruffin


,



Janice P. Nimura


,



Charles M Blow


,



Sal Iacono


,



Frank Figliuzzi


,



Wright Thompson


,



Ty Seidule


,



Alexi Pappas


,



Craig Unger


","https://m.media-amazon.com/images/I/81NI6sqvvkL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81FeR-7X-WL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71gnwhv3ZsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41q4vz8jByL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1Fo0xS8EGL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61wkQ7DtpML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81aoGLGfD+L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81srvVn-Y2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71FcgmgBvWL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81zv+geN0GL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71tKPXsiUML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91GUzJp+ZrL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91VQtvnfr0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81oGBeoAiJL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81hWHR+pOxL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/910c-DHKXwL._AC_UY218_.jpg","A Promised Land,Just as I Am: A Memoir,Quit Like a Woman: The Radical Choice to Not Drink in a Culture Obsessed with Alcohol,Girl With No Job: The Crazy Beautiful Life of an Instagram Thirst Monster,Wintering: The Power of Rest and Retreat in Difficult Times,Let Me Tell You What I Mean,Three Wise Men: A Navy SEAL, a Green Beret, and How Their Marine Brother Became a War's Sole Survivor,You'll Never Believe What Happened to Lacey: Crazy Stories about Racism,The Doctors Blackwell: How Two Pioneering Sisters Brought Medicine to Women and Women to Medicine,The Devil You Know: A Black Power Manifesto,You Can't Lose Them All: Tales of a Degenerate Gambler and His Ridiculous Friends,The FBI Way: Inside the Bureau's Code of Excellence,Pappyland: A Story of Family, Fine Bourbon, and the Things That Last,Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Bravey: Chasing Dreams, Befriending Pain, and Other Big Ideas,American Kompromat: How the KGB Cultivated Donald Trump, and Related Tales of Sex, Greed, Power, and Treachery","0,.,18,.,12,.,17,.,20,.,19,.,17,.,19,.,22,.,18,.,24,.,17,.,23,.,17,.,23,.,26,.","67,503,20,1,601,271,681,8,150,348,20,6,31,163,1,194,14,105,6","4.9 out of 5 stars,4.7 out of 5 stars,4.4 out of 5 stars,4.7 out of 5 stars,4.5 out of 5 stars,3.6 out of 5 stars,4.8 out of 5 stars,4.9 out of 5 stars,4.5 out of 5 stars,5.0 out of 5 stars,4.2 out of 5 stars,4.7 out of 5 stars,4.6 out of 5 stars,2.5 out of 5 stars,4.9 out of 5 stars,3.3 out of 5 stars"
Barack Obama,https://m.media-amazon.com/images/I/81NI6sqvvkL._AC_UY218_.jpg,,"0,.","67,503",4.9 out of 5 stars
"



Cicely Tyson


",https://m.media-amazon.com/images/I/81FeR-7X-WL._AC_UY218_.jpg,,"18,.",20,4.7 out of 5 stars
"



Holly Whitaker


",https://m.media-amazon.com/images/I/71gnwhv3ZsL._AC_UY218_.jpg,,"12,.","1,601",4.4 out of 5 stars
"



Claudia Oshry


",https://m.media-amazon.com/images/I/41q4vz8jByL._AC_UY218_.jpg,,"17,.",271,4.7 out of 5 stars
"



Katherine May


",https://m.media-amazon.com/images/I/A1Fo0xS8EGL._AC_UY218_.jpg,,"20,.",681,4.5 out of 5 stars
"



Joan Didion


",https://m.media-amazon.com/images/I/61wkQ7DtpML._AC_UY218_.jpg,,"19,.",8,3.6 out of 5 stars
Beau Wise,https://m.media-amazon.com/images/I/81aoGLGfD+L._AC_UY218_.jpg,,"17,.",150,4.8 out of 5 stars
"



Amber Ruffin


",https://m.media-amazon.com/images/I/81srvVn-Y2L._AC_UY218_.jpg,,"19,.",348,4.9 out of 5 stars
"



Janice P. Nimura


",https://m.media-amazon.com/images/I/71FcgmgBvWL._AC_UY218_.jpg,,"22,.",20,4.5 out of 5 stars
"



Charles M Blow


",https://m.media-amazon.com/images/I/81zv+geN0GL._AC_UY218_.jpg,,"18,.",6,5.0 out of 5 stars
"



Sal Iacono


",https://m.media-amazon.com/images/I/71tKPXsiUML._AC_UY218_.jpg,,"24,.",31,4.2 out of 5 stars
"



Frank Figliuzzi


",https://m.media-amazon.com/images/I/91GUzJp+ZrL._AC_UY218_.jpg,,"17,.",163,4.7 out of 5 stars
"



Wright Thompson


",https://m.media-amazon.com/images/I/91VQtvnfr0L._AC_UY218_.jpg,,"23,.","1,194",4.6 out of 5 stars
"



Ty Seidule


",https://m.media-amazon.com/images/I/81oGBeoAiJL._AC_UY218_.jpg,,"17,.",14,2.5 out of 5 stars
"



Alexi Pappas


",https://m.media-amazon.com/images/I/81hWHR+pOxL._AC_UY218_.jpg,,"23,.",105,4.9 out of 5 stars
"



Craig Unger


",https://m.media-amazon.com/images/I/910c-DHKXwL._AC_UY218_.jpg,,"26,.",6,3.3 out of 5 stars
,,,,,
,,,,,
